Health_Factors_pctile_within_state,Length_of_Life_pctile_within_state,pct_Smokers,pct_Physically_Inactive,pct_Excessive_Drinking,Preventable_Hospitalization_rate,pct_Some_College,pct_Frequent_Mental_Distress,pct_Diabetic,Median_Household_Income,pct_Rural,NSSATS_COMPSAT_3,NMHSS_TREATFAMTHRPY,NMHSS_TREATTRAUMATHRPY,NMHSS_FOCUS_Mental health treatment,NMHSS_FOCUS_Mix of mental health and substance abuse treatment,NMHSS_LANGPROV_BOTH staff and on-call interpreter,NMHSS_HLTHREC_-6,NMHSS_FACNUM_11 to 30 facilities,NMHSS_IPSEXPERF_3,NMHSS_IPAGEPER017_1,NMHSS_IPETHPERHISP_2,NMHSS_IPETHPERNONHISP_4,NMHSS_IPRACETOTASIAN_41 to 50,NMHSS_IPRACEPERWHIT_1,NMHSS_IPRACEPERWHIT_6,NMHSS_IPRACEPERUNK_2,NMHSS_IPRACEPERUNK_3,NMHSS_OPAGETOT017_51 to 75,NMHSS_OPAGETOT017_None,NMHSS_OPAGEPER017_0,NMHSS_OPETHPERHISP_3,NMHSS_OPETHTOTUNK_1 to 10,NMHSS_OPRACEPERBLK_1,NMHSS_OPRACETOTWHIT_More than 250,NMHSS_OPRACEPERWHIT_7,NMHSS_OPLEGALTOTNONFOREN_11,NMHSS_PERCENTVA_7,NSDUH_PRUD_PYR_AVEG,NSDUH_SMI_PYR_AVEG,NSDUH_AMI_PYR_AVEG,TEDSA_AGE_8,TEDSA_DETNLF_3,TEDSA_ARRESTS_-9,TEDSA_ARRESTS_0,TEDSA_METHUSE_-9,TEDSA_SUB1_7,TEDSA_SUB2_7,TEDSA_FRSTUSE2_10,TEDSA_FRSTUSE2_11,TEDSA_FRSTUSE2_12,TEDSA_FRSTUSE2_7,TEDSA_FRSTUSE2_8,TEDSA_FRSTUSE2_9,TEDSA_SUB3_7,TEDSA_FRSTUSE3_-9,TEDSA_FRSTUSE3_10,TEDSA_FRSTUSE3_11,TEDSA_FRSTUSE3_12,TEDSA_FRSTUSE3_5,TEDSA_FRSTUSE3_6,TEDSA_FRSTUSE3_7,TEDSA_FRSTUSE3_8,TEDSA_FRSTUSE3_9,TEDSA_OPSYNFLG_0,TEDSA_OPSYNFLG_1,TEDSA_OTCFLG_0,TEDSA_OTCFLG_1,TEDSA_DSMCRIT_-9,TEDSA_DSMCRIT_12,TEDSA_DSMCRIT_14,TEDSA_DSMCRIT_15,TEDSA_DSMCRIT_17,TEDSA_DSMCRIT_18,TEDSA_DSMCRIT_2,TEDSA_DSMCRIT_5,TEDSA_PSYPROB_1,TEDSD_AGE_8,TEDSD_DETNLF_1,TEDSD_PREG_1,TEDSD_CBSA_14540,TEDSD_CBSA_17300,TEDSD_CBSA_21060,TEDSD_CBSA_21780,TEDSD_CBSA_26580,TEDSD_CBSA_30460,TEDSD_CBSA_30940,TEDSD_CBSA_31140,TEDSD_CBSA_36980,TEDSD_DIVISION_6,TEDSD_SUB2_7,TEDSD_SUB3_7,TEDSD_DSMCRIT_14,TEDSD_PSYPROB_1,RetailDrug_AMOBARBITAL (SCHEDULE 2),RetailDrug_AMPHETAMINE,RetailDrug_FENTANYL BASE,RetailDrug_LISDEXAMFETAMINE,RetailDrug_METHYLPHENIDATE (DL;D;L;ISOMERS),RetailDrug_TAPENTADOL,Drug_Overdose_Mortality_Rate,STATE,County
9,27,18.7,28.7,15.1,62.38,56.47074961,12.8,10.9,54366,42.00216232,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,7.824019741,AL,Autauga
6,6,18.6,25.2,15.1,49.28,62.33591821,12.8,10.9,49626,42.27909911,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,16.02889293,AL,Baldwin
83,15,21.4,32.9,12.4,60.85,43.35856848,14.9,15.3,34971,67.7896347,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Barbour
47,66,21,33.2,13.8,73.81,48.92787524,14.3,12.5,39546,68.35260746,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,14.78961769,AL,Bibb
27,18,19.4,28.5,14.1,62.87,49.14993353,13.8,11.7,45567,89.95150204,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,24.21907887,AL,Blount
90,45,22.3,33.1,11.3,70.25,34.50704225,15.5,17.3,26580,51.37438153,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Bullock
86,72,22.8,34.4,10.5,106.01,43.69922933,16.4,16.2,32512,71.23215735,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Butler
57,53,23.8,33.6,12.9,77.25,53.73339284,14.8,12.6,41123,33.69682556,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,9.429972453,AL,Calhoun
75,83,20.8,34.8,12,62.2,47.69630914,15.5,15.3,34116,49.14803449,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Chambers
30,84,19.8,31,13.3,81.36,54.42703749,14.2,12.5,38013,85.73627304,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,19.16663472,AL,Cherokee
