state,state_name,county,Gaussian_Mixture_label,Affinity_Propagation_label,Agglomerative_Clustering_label,KMeans_label
AK,Alaska,Skagway-Hoonah-Angoon,1,19,1,0
AK,Alaska,Wrangell-Petersburg,2,87,2,2
AL,Alabama,Macon,1,85,1,0
AL,Alabama,Pickens,0,102,2,2
AL,Alabama,Conecuh,0,120,2,2
AL,Alabama,Perry,2,87,0,2
AL,Alabama,Walker,0,101,2,2
AL,Alabama,Mobile,1,45,1,0
AL,Alabama,Lowndes,0,105,2,2
AL,Alabama,Greene,1,85,1,0
AL,Alabama,Wilcox,2,72,0,2
AL,Alabama,Sumter,2,33,0,2
AL,Alabama,Dallas,1,40,2,2
AL,Alabama,Escambia,2,69,0,1
AZ,Arizona,Apache,0,61,1,0
GA,Georgia,Clay,2,53,2,2
KY,Kentucky,Bell,0,80,2,0
LA,Louisiana,Madison,2,9,0,1
MS,Mississippi,Holmes,2,16,0,1
ND,North Dakota,Stark,0,27,2,2
NM,New Mexico,McKinley,1,29,1,0
OK,Oklahoma,Adair,0,101,2,2
SD,South Dakota,Lincoln,2,103,0,1
SD,South Dakota,Union,1,93,1,0
SD,South Dakota,McCook,0,81,2,2
SD,South Dakota,Hand,1,85,1,0
SD,South Dakota,Stanley,0,120,2,2
SD,South Dakota,Hyde,0,57,0,2
SD,South Dakota,Kingsbury,0,83,2,2
SD,South Dakota,Custer,2,2,2,1
SD,South Dakota,Deuel,1,22,1,0
SD,South Dakota,Sully,1,1,1,0
SD,South Dakota,Aurora,0,97,0,1
TN,Tennessee,Grundy,1,62,1,2
TN,Tennessee,Campbell,1,68,1,0
TN,Tennessee,Haywood,2,76,0,1
TN,Tennessee,Hardeman,1,44,1,0
TN,Tennessee,Hancock,0,50,1,2
VA,Virginia,Bedford City,0,23,2,2
WI,Wisconsin,Menominee,1,59,2,2
WV,West Virginia,Wayne,2,78,2,1
WV,West Virginia,Clay,2,98,0,1
WV,West Virginia,McDowell,1,44,1,0
WV,West Virginia,Webster,2,16,0,1
AK,Alaska,Aleutians West,0,18,2,2
KS,Kansas,Johnson,2,8,0,1
MN,Minnesota,Washington,2,63,2,2
ND,North Dakota,Slope,0,34,2,1
ND,North Dakota,Stutsman,2,32,0,1
ND,North Dakota,Dickey,1,19,1,0
ND,North Dakota,Pembina,1,15,1,0
ND,North Dakota,Burleigh,2,110,0,1
ND,North Dakota,Oliver,0,18,2,2
ND,North Dakota,Nelson,2,53,2,2
ND,North Dakota,Barnes,2,104,0,1
ND,North Dakota,LaMoure,2,103,0,1
ND,North Dakota,Cavalier,2,104,0,1
ND,North Dakota,Divide,2,12,0,1
ND,North Dakota,Ransom,2,16,0,1
ND,North Dakota,Foster,0,37,2,2
ND,North Dakota,Adams,0,81,2,2
NE,Nebraska,Sarpy,2,33,0,1
NE,Nebraska,Perkins,1,24,2,2
NE,Nebraska,Pierce,0,41,0,1
NE,Nebraska,Cass,2,109,0,1
NE,Nebraska,Washington,2,79,0,1
NE,Nebraska,Seward,0,18,2,2
SD,South Dakota,Walworth,2,98,0,1
SD,South Dakota,Hanson,0,27,2,1
SD,South Dakota,Perkins,1,29,1,0
SD,South Dakota,Brookings,2,4,2,2
SD,South Dakota,Butte,2,31,2,2
SD,South Dakota,Spink,0,58,2,1
SD,South Dakota,Marshall,1,92,1,0
SD,South Dakota,Harding,2,109,0,1
SD,South Dakota,Bon Homme,1,99,2,2
SD,South Dakota,Hutchinson,0,0,2,2
SD,South Dakota,Meade,0,87,2,2
SD,South Dakota,Hughes,1,39,1,0
SD,South Dakota,Lake,1,1,1,0
TX,Texas,Collin,1,56,1,0
VA,Virginia,Fairfax,0,18,2,2
AK,Alaska,North Slope,2,98,0,1
AK,Alaska,Haines,1,85,1,0
AK,Alaska,Yakutat,2,79,2,1
AK,Alaska,Southeast Fairbanks,2,76,0,1
AK,Alaska,Matanuska-Susitna,1,109,2,2
AK,Alaska,Bristol Bay,0,36,2,2
CA,California,San Mateo,1,62,2,2
CO,Colorado,Boulder,0,82,2,2
CO,Colorado,Chaffee,0,78,0,1
CO,Colorado,Yuma,1,39,1,0
CO,Colorado,Teller,0,87,2,2
CO,Colorado,Cheyenne,0,2,2,2
CO,Colorado,La Plata,0,23,2,2
CO,Colorado,Mineral,2,16,0,1
CO,Colorado,Hinsdale,0,58,2,1
CO,Colorado,Ouray,2,55,0,1
IA,Iowa,Black Hawk,0,58,2,1
IA,Iowa,Pocahontas,0,18,2,2
IA,Iowa,Howard,1,114,2,2
IA,Iowa,Ida,2,35,0,1
IA,Iowa,Calhoun,1,66,1,0
IA,Iowa,Wayne,1,22,1,0
IA,Iowa,Palo Alto,0,27,2,2
IA,Iowa,Union,1,28,1,0
IA,Iowa,Franklin,1,85,1,0
IA,Iowa,Worth,1,64,1,0
IA,Iowa,Fayette,2,31,0,1
IA,Iowa,Henry,0,67,2,2
IA,Iowa,Cass,2,9,0,1
IA,Iowa,Monroe,2,87,2,2
