state,state_name,county,mentally_unhealthy_days,physically_unhealthy_days,pct_frequent_mental_distress,pct_excessive_drinking,injury_death_rate,age_adjusted_mortality,pct_frequent_physical_distress,pct_smokers,pct_insufficient_sleep,preventable_hospitalization_rate,pct_some_college,pct_fair_or_poor_health,pct_unemployed,length_of_life_pctile_within_state,median_household_income,pct_physically_inactive,length_of_life_quartile_within_state,pct_children_in_poverty,income_20th_percentile,pct_children_eligible_free_lunch,pct_diabetic,drug_overdose_mortality_rate
AL,Alabama,Autauga,4.3,4.4,12.8,15.1,76.43785057,456.4,12.9,18.7,37.6,62.38,56.47074961,19.4,5.883046915,27.0,54366.0,28.7,2.0,18.1,23527.0,36.94555933,10.9,7.824019741
AL,Alabama,Baldwin,4.2,4.1,12.8,15.1,70.18159488,356.0,12.2,18.6,32.8,49.28,62.33591821,16.0,6.053720212000001,6.0,49626.0,25.2,1.0,19.8,21829.0,36.16030457,10.9,16.02889293
AL,Alabama,Barbour,4.7,4.9,14.9,12.4,63.73159476,430.8,15.4,21.4,39.6,60.85,43.35856848,25.7,10.80927484,15.0,34971.0,32.9,1.0,38.1,13552.0,55.05921304245098,15.3,14.440615446578569
AL,Alabama,Bibb,4.6,4.8,14.3,13.8,74.7377584,541.7,14.8,21.0,40.6,73.81,48.92787524,22.0,7.137850467000001,66.0,39546.0,33.2,3.0,26.8,17998.0,54.96402878,12.5,14.78961769
AL,Alabama,Blount,4.5,4.6,13.8,14.1,88.52998563,430.3,13.9,19.4,36.2,62.87,49.14993353,20.7,6.1469082639999995,18.0,45567.0,28.5,1.0,24.1,19954.0,45.00305935,11.7,24.21907887
AL,Alabama,Bullock,4.8,5.3,15.5,11.3,89.62581223,469.4,17.0,22.3,44.1,70.25,34.50704225,29.3,9.083137423,45.0,26580.0,33.1,2.0,43.1,11896.0,55.05921304245098,16.85,14.440615446578569
AL,Alabama,Butler,5.1,5.3,16.4,10.5,79.58383478,538.2,17.2,22.8,40.6,106.01,43.69922933,27.4,8.570193451,72.0,32512.0,34.4,3.0,36.7,13256.0,70.81664099,16.2,14.440615446578569
AL,Alabama,Calhoun,4.9,4.9,14.8,12.9,72.69466204,520.7,15.0,23.8,39.0,77.25,53.73339284,22.3,7.919188475,53.0,41123.0,33.6,3.0,28.1,15646.0,53.55850422,12.6,9.429972453
AL,Alabama,Chambers,4.9,5.1,15.5,12.0,77.29966504,568.3,16.1,20.8,39.5,62.2,47.69630914,25.8,6.747860435,83.0,34116.0,34.8,4.0,31.6,13664.0,65.68772449,15.3,14.440615446578569
AL,Alabama,Cherokee,4.7,4.6,14.2,13.3,90.68273339,528.2,14.0,19.8,34.3,81.36,54.42703749,19.8,5.850075228,84.0,38013.0,31.0,4.0,27.9,14839.0,54.62042202,12.5,19.16663472
