Model and feature tuning leaderboard (scorer=RMSE):
+-------------+-----------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+--------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+--------------+--------------------+----------+-------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+-----------+----------+--------+
|   job order | booster   |   colsample_bytree | debug_verbose   | early_stopping_rounds   | early_stopping_threshold   | eval_metric   |   gamma | gpu_id   | grow_policy   | learning_rate   |   max_bin |   max_delta_step |   max_depth |   max_leaves | min_child_weight   | monotonicity_constraints   | n_estimators   | n_gpus   | num_classes   | objective   | random_state   |   reg_alpha |   reg_lambda |   scale_pos_weight | silent   |   subsample | tree_method   |   scores |   scores_sd |   training_times |   rel_time |   optimal_n_estimators |   rel_optimal_n_estimators |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | job status   |   rel_scores |   complexity |   z-score | isbest   | good   |
|-------------+-----------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+--------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+--------------+--------------------+----------+-------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+-----------+----------+--------|
|           1 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           6 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.08016 |    0.319363 |          8.68405 |  0.0232249 |                     47 |                   0.319728 |            102 |       209093 |       95 |          209093 |          95 | PASSED       |     1        |     2678.44  | 0         |          | +      |
|           3 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           6 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.08016 |    0.307109 |          8.4969  |  0.0227244 |                     47 |                   0.319728 |            102 |       209093 |       95 |          209093 |          95 | PASSED       |     1        |     2678.44  | 0         |          | +      |
|          38 | gbtree    |               0.4  | 0               | 20                      | 0.001                      | rmse          |   0.1   | 0        | depthwise     | 0.05            |       128 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          2   |                  1 | True     |         0.8 | hist          |  5.09235 |    0.278916 |         97.7534  |  0.261435  |                     90 |                   0.612245 |            102 |       209092 |      258 |          209092 |         300 | PASSED       |     0.997606 |    49951.1   | 0.0381806 |          | +      |
|           2 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           6 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.09676 |    0.312209 |          8.90232 |  0.0238087 |                     48 |                   0.326531 |            102 |       209093 |       90 |          209093 |          90 | PASSED       |     0.996743 |     2591.46  | 0.0519757 |          | +      |
|           4 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           6 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.09676 |    0.316425 |          9.33721 |  0.0249718 |                     48 |                   0.326531 |            102 |       209093 |       90 |          209093 |          90 | PASSED       |     0.996743 |     2591.46  | 0.0519757 |          | +      |
|          23 | gbtree    |               0.35 | 0               | 20                      | 0.001                      | rmse          |   0.001 | 0        | depthwise     | 0.05            |       256 |                0 |           8 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          2   |                  1 | True     |         0.8 | hist          |  5.0976  |    0.295568 |         87.7004  |  0.234549  |                    102 |                   0.693878 |            102 |       209093 |      260 |          209093 |         304 | PASSED       |     0.996578 |    32657.4   | 0.0546232 |          | +      |
|           0 | gbtree    |               0.8  |                 |                         |                            |               |   0     |          | lossguide     |                 |       256 |                0 |           0 |           64 |                    |                            |                |          |               |             |                |         0   |          1   |                  1 |          |         0.7 | hist          |  5.10557 |    0.304896 |         13.2844  |  0.0355283 |                     69 |                   0.469388 |             88 |       209093 |       78 |          209093 |          78 | PASSED       |     0.995023 |     2343.18  | 0.0795592 |          | +      |
|          12 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0.001 | 0        | depthwise     | 0.05            |       256 |                0 |           5 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0.5 |          0   |                  1 | True     |         0.9 | hist          |  5.11882 |    0.314671 |          9.93012 |  0.0265575 |                    102 |                   0.693878 |            102 |       209093 |       96 |          209093 |          96 | PASSED       |     0.992446 |     3723.74  | 0.121073  |          | +      |
|          25 | gbtree    |               0.35 | 0               | 20                      | 0.001                      | rmse          |   0.001 | 0        | depthwise     | 0.05            |       256 |                0 |           3 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          5   |                  1 | True     |         0.7 | hist          |  5.12438 |    0.293009 |         13.7473  |  0.0367662 |                    115 |                   0.782313 |            102 |       209093 |      229 |          209093 |         260 | PASSED       |     0.991371 |     2792.67  | 0.13846   |          | +      |
|          26 | gbtree    |               0.55 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.05            |       256 |                0 |           5 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         2   |          0   |                  1 | True     |         1   | hist          |  5.12797 |    0.285515 |         31.3631  |  0.0838785 |                     96 |                   0.653061 |            102 |       209093 |      232 |          209093 |         264 | PASSED       |     0.990676 |     8469.68  | 0.149707  |          | +      |
|          16 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |        64 |                0 |           4 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.7 | hist          |  5.13483 |    0.301329 |          4.79806 |  0.0128321 |                     47 |                   0.319728 |            102 |       209093 |       94 |          209093 |          95 | PASSED       |     0.989353 |      961.741 | 0.171185  |          | +      |
|          27 | gbtree    |               0.8  | 0               | 20                      | 0.001                      | rmse          |   0.001 | 0        | lossguide     | 0.1             |        64 |                0 |           0 |           16 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         2   |          0   |                  1 | True     |         0.9 | hist          |  5.13938 |    0.291272 |         12.7433  |  0.0340811 |                     51 |                   0.346939 |            102 |       209093 |      229 |          209093 |         254 | PASSED       |     0.988477 |     1271.18  | 0.185429  |          | +      |
|          28 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           4 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.5 |                  1 | True     |         0.7 | hist          |  5.1451  |    0.290307 |         13.7478  |  0.0367676 |                     42 |                   0.285714 |            102 |       209093 |      232 |          209093 |         268 | PASSED       |     0.987378 |     2121.14  | 0.203345  |          | +      |
