state,state_name,county,Gaussian_Mixture_label,Affinity_Propagation_label,Agglomerative_Clustering_label,KMeans_label
AK,Alaska,Aleutians West,2,67,0,2
KS,Kansas,Johnson,0,30,1,0
MN,Minnesota,Washington,2,106,0,0
ND,North Dakota,Dickey,0,108,1,0
ND,North Dakota,Cavalier,1,95,2,1
ND,North Dakota,Divide,0,7,2,1
ND,North Dakota,Slope,0,52,1,1
ND,North Dakota,Ransom,1,9,2,1
ND,North Dakota,Burleigh,1,84,2,1
ND,North Dakota,Stutsman,2,22,0,2
ND,North Dakota,Pembina,1,86,2,1
ND,North Dakota,Foster,0,78,0,0
ND,North Dakota,Oliver,0,70,1,0
ND,North Dakota,LaMoure,1,34,2,1
ND,North Dakota,Nelson,0,85,1,0
ND,North Dakota,Adams,2,73,0,0
ND,North Dakota,Barnes,2,103,0,2
NE,Nebraska,Sarpy,0,42,2,1
NE,Nebraska,Pierce,1,84,1,1
NE,Nebraska,Cass,0,11,1,1
NE,Nebraska,Perkins,2,48,0,2
NE,Nebraska,Washington,1,31,2,1
NE,Nebraska,Seward,1,20,2,1
SD,South Dakota,Perkins,1,114,2,1
SD,South Dakota,Meade,0,27,1,0
SD,South Dakota,Brookings,2,44,0,2
SD,South Dakota,Hughes,0,78,0,0
SD,South Dakota,Butte,2,26,1,0
SD,South Dakota,Harding,2,12,0,2
SD,South Dakota,Hutchinson,1,115,2,1
SD,South Dakota,Spink,2,94,0,2
SD,South Dakota,Hanson,2,75,0,2
SD,South Dakota,Lake,0,98,1,0
SD,South Dakota,Bon Homme,0,98,0,0
SD,South Dakota,Marshall,2,23,0,2
SD,South Dakota,Walworth,2,27,1,0
TX,Texas,Collin,2,67,0,2
VA,Virginia,Fairfax,2,110,1,0
AK,Alaska,North Slope,0,108,2,0
AK,Alaska,Southeast Fairbanks,2,15,1,0
AK,Alaska,Bristol Bay,2,106,0,0
AK,Alaska,Matanuska-Susitna,1,66,2,1
AK,Alaska,Yakutat,0,3,1,0
AK,Alaska,Haines,1,79,2,1
CA,California,San Mateo,2,55,0,2
CO,Colorado,Teller,1,76,2,1
CO,Colorado,Cheyenne,0,83,1,0
CO,Colorado,Chaffee,2,83,0,0
CO,Colorado,Boulder,1,66,2,1
CO,Colorado,La Plata,1,3,1,0
CO,Colorado,Hinsdale,2,67,0,2
CO,Colorado,Yuma,1,114,2,1
CO,Colorado,Mineral,0,98,1,0
CO,Colorado,Ouray,1,95,2,1
IA,Iowa,Palo Alto,1,86,2,1
IA,Iowa,Tama,0,30,1,0
IA,Iowa,Monona,1,100,2,1
IA,Iowa,Chickasaw,2,5,1,0
IA,Iowa,Greene,1,32,2,1
IA,Iowa,Van Buren,0,78,0,0
IA,Iowa,Marshall,2,22,0,0
IA,Iowa,Fayette,1,35,2,1
IA,Iowa,Wayne,2,15,1,1
IA,Iowa,Union,2,69,1,2
